cost1,cost2,cost3,rev1,rev2,rev3
-0.071429,-0.071429,-0.071429,-0.20062,-0.22116,-0.229
-0.068571,-0.068571,-0.068571,-0.20148,-0.22201,-0.22983
-0.065714,-0.065714,-0.065714,-0.20235,-0.22285,-0.23066
-0.062857,-0.062857,-0.062857,-0.20321,-0.22369,-0.2315
-0.06,-0.06,-0.06,-0.20407,-0.22453,-0.23233
-0.057143,-0.057143,-0.057143,-0.20494,-0.22537,-0.23317
-0.054286,-0.054286,-0.054286,-0.2058,-0.22622,-0.234
-0.051429,-0.051429,-0.051429,-0.20667,-0.22706,-0.23483
-0.048571,-0.048571,-0.048571,-0.20753,-0.2279,-0.23567
-0.045714,-0.045714,-0.045714,-0.2084,-0.22874,-0.2365
-0.042857,-0.042857,-0.042857,-0.20926,-0.22958,-0.23733
-0.04,-0.04,-0.04,-0.21012,-0.23043,-0.23817
-0.037143,-0.037143,-0.037143,-0.21099,-0.23127,-0.239
-0.034286,-0.034286,-0.034286,-0.21185,-0.23211,-0.23983
-0.031429,-0.031429,-0.031429,-0.21272,-0.23295,-0.24067
-0.028571,-0.028571,-0.028571,-0.21358,-0.23379,-0.2415
-0.025714,-0.025714,-0.025714,-0.21444,-0.23464,-0.24233
-0.022857,-0.022857,-0.022857,-0.21531,-0.23548,-0.24317
-0.02,-0.02,-0.02,-0.21617,-0.23632,-0.244
-0.017143,-0.017143,-0.017143,-0.21704,-0.23716,-0.24483
-0.014286,-0.014286,-0.014286,-0.2179,-0.238,-0.24567
-0.011429,-0.011429,-0.011429,-0.21877,-0.23885,-0.2465
-0.0085714,-0.0085714,-0.0085714,-0.21963,-0.23969,-0.24734
-0.0057143,-0.0057143,-0.0057143,-0.22049,-0.24053,-0.24817
-0.0028571,-0.0028571,-0.0028571,-0.22136,-0.24137,-0.249
0,0,0,0,0,0
0.0028571,0.0028571,0.0028571,-0.0011111,-0.0011111,-0.0011111
0.0057143,0.0057143,0.0057143,-0.0022222,-0.0022222,-0.0022222
0.0085714,0.0085714,0.0085714,-0.0033333,-0.0033333,-0.0033333
0.011429,0.011429,0.011429,-0.0044444,-0.0044444,-0.0044444
0.014286,0.014286,0.014286,-0.0055556,-0.0055556,-0.0055556
0.017143,0.017143,0.017143,-0.0066667,-0.0066667,-0.0066667
0.02,0.02,0.02,-0.0077778,-0.0077778,-0.0077778
0.022857,0.022857,0.022857,-0.0088889,-0.0088889,-0.0088889
0.025714,0.025714,0.025714,-0.01,-0.01,-0.01
0.028571,0.028571,0.028571,-0.011111,-0.011111,-0.011111
0.031429,0.031429,0.031429,-0.012222,-0.012222,-0.012222
0.034286,0.034286,0.034286,-0.013333,-0.013333,-0.013333
0.037143,0.037143,0.037143,-0.014444,-0.014444,-0.014444
0.04,0.04,0.04,-0.015556,-0.015556,-0.015556
0.042857,0.042857,0.042857,-0.016667,-0.016667,-0.016667
0.045714,0.045714,0.045714,-0.017778,-0.017778,-0.017778
0.048571,0.048571,0.048571,-0.018889,-0.018889,-0.018889
0.051429,0.051429,0.051429,-0.02,-0.02,-0.02
0.054286,0.054286,0.054286,-0.021111,-0.021111,-0.021111
0.057143,0.057143,0.057143,-0.022222,-0.022222,-0.022222
0.06,0.06,0.06,-0.023333,-0.023333,-0.023333
0.062857,0.062857,0.062857,-0.024444,-0.024444,-0.024444
0.065714,0.065714,0.065714,-0.025556,-0.025556,-0.025556
0.068571,0.068571,0.068571,-0.026667,-0.026667,-0.026667
0.071429,0.071429,0.071429,-0.027778,-0.027778,-0.027778
0.074286,0.074286,0.074286,-0.028889,-0.028889,-0.028889
0.077143,0.077143,0.077143,-0.03,-0.03,-0.03
0.08,0.08,0.08,-0.031111,-0.031111,-0.031111
0.082857,0.082857,0.082857,-0.032222,-0.032222,-0.032222
0.085714,0.085714,0.085714,-0.033333,-0.033333,-0.033333
0.088571,0.088571,0.088571,-0.034444,-0.034444,-0.034444
0.091429,0.091429,0.091429,-0.035556,-0.035556,-0.035556
0.094286,0.094286,0.094286,-0.036667,-0.036667,-0.036667
0.097143,0.097143,0.097143,-0.037778,-0.037778,-0.037778
0.1,0.1,0.1,-0.038889,-0.038889,-0.038889
0.10286,0.10286,0.10286,-0.04,-0.04,-0.04
0.10571,0.10571,0.10571,-0.041111,-0.041111,-0.041111
0.10857,0.10857,0.10857,-0.042222,-0.042222,-0.042222
0.11143,0.11143,0.11143,-0.043333,-0.043333,-0.043333
0.11429,0.11429,0.11429,-0.044444,-0.044444,-0.044444
0.11714,0.11714,0.11714,-0.045556,-0.045556,-0.045556
0.12,0.12,0.12,-0.046667,-0.046667,-0.046667
0.12286,0.12286,0.12286,-0.047778,-0.047778,-0.047778
0.12571,0.12571,0.12571,-0.048889,-0.048889,-0.048889
0.12857,0.12857,0.12857,-0.05,-0.05,-0.05
0.13143,0.13143,0.13143,-0.051111,-0.051111,-0.051111
0.13429,0.13429,0.13429,-0.052222,-0.052222,-0.052222
0.13714,0.13714,0.13714,-0.053333,-0.053333,-0.053333
0.14,0.14,0.14,-0.054444,-0.054444,-0.054444
0.14286,0.14286,0.14286,-0.055556,-0.055556,-0.055556
0.14571,0.14571,0.14571,-0.056667,-0.056667,-0.056667
0.14857,0.14857,0.14857,-0.057778,-0.057778,-0.057778
0.15143,0.15143,0.15143,-0.058889,-0.058889,-0.058889
0.15429,0.15429,0.15429,-0.06,-0.06,-0.06
0.15714,0.15714,0.15714,-0.061111,-0.061111,-0.061111
0.16,0.16,0.16,-0.062222,-0.062222,-0.062222
0.16286,0.16286,0.16286,-0.063333,-0.063333,-0.063333
0.16571,0.16571,0.16571,-0.064444,-0.064444,-0.064444
0.16857,0.16857,0.16857,-0.065556,-0.065556,-0.065556
0.17143,0.17143,0.17143,-0.066667,-0.066667,-0.066667
0.17429,0.17429,0.17429,-0.067778,-0.067778,-0.067778
0.17714,0.17714,0.17714,-0.068889,-0.068889,-0.068889
0.18,0.18,0.18,-0.07,-0.07,-0.07
0.18286,0.18286,0.18286,-0.071111,-0.071111,-0.071111
0.18571,0.18571,0.18571,-0.072222,-0.072222,-0.072222
0.18857,0.18857,0.18857,-0.073333,-0.073333,-0.073333
0.19143,0.19143,0.19143,-0.074444,-0.074444,-0.074444
0.19429,0.19429,0.19429,-0.075556,-0.075556,-0.075556
0.19714,0.19714,0.19714,-0.076667,-0.076667,-0.076667
0.2,0.2,0.2,-0.077778,-0.077778,-0.077778
0.20286,0.20286,0.20286,-0.078889,-0.078889,-0.078889
0.20571,0.20571,0.20571,-0.08,-0.08,-0.08
0.20857,0.20857,0.20857,-0.081111,-0.081111,-0.081111
0.21143,0.21143,0.21143,-0.082222,-0.082222,-0.082222
0.21429,0.21429,0.21429,-0.083333,-0.083333,-0.083333
0.21714,0.21714,0.21714,-0.084444,-0.084444,-0.084444
0.22,0.22,0.22,-0.085556,-0.085556,-0.085556
0.22286,0.22286,0.22286,-0.086667,-0.086667,-0.086667
0.22571,0.22571,0.22571,-0.087778,-0.087778,-0.087778
0.22857,0.22857,0.22857,-0.088889,-0.088889,-0.088889
0.23143,0.23143,0.23143,-0.09,-0.09,-0.09
0.23429,0.23429,0.23429,-0.091111,-0.091111,-0.091111
0.23714,0.23714,0.23714,-0.092222,-0.092222,-0.092222
0.24,0.24,0.24,-0.093333,-0.093333,-0.093333
0.24286,0.24286,0.24286,-0.094444,-0.094444,-0.094444
0.24571,0.24571,0.24571,-0.095556,-0.095556,-0.095556
0.24857,0.24857,0.24857,-0.096667,-0.096667,-0.096667
0.25143,0.25143,0.25143,-0.097778,-0.097778,-0.097778
0.25429,0.25429,0.25429,-0.098889,-0.098889,-0.098889
0.25714,0.25714,0.25714,-0.1,-0.1,-0.1
0.26,0.26,0.26,-0.10111,-0.10111,-0.10111
0.26286,0.26286,0.26286,-0.10222,-0.10222,-0.10222
0.26571,0.26571,0.26571,-0.10333,-0.10333,-0.10333
0.26857,0.26857,0.26857,-0.10444,-0.10444,-0.10444
0.27143,0.27143,0.27143,-0.10556,-0.10556,-0.10556
0.27429,0.27429,0.27429,-0.10667,-0.10667,-0.10667
0.27714,0.27714,0.27714,-0.10778,-0.10778,-0.10778
0.28,0.28,0.28,-0.10889,-0.10889,-0.10889
0.28286,0.28286,0.28286,-0.11,-0.11,-0.11
0.28571,0.28571,0.28571,-0.11111,-0.11111,-0.11111
0.28857,0.28857,0.28857,-0.11222,-0.11222,-0.11222
0.29143,0.29143,0.29143,-0.11333,-0.11333,-0.11333
0.29429,0.29429,0.29429,-0.11444,-0.11444,-0.11444
0.29714,0.29714,0.29714,-0.11556,-0.11556,-0.11556
0.3,0.3,0.3,-0.11636,-0.11667,-0.11667
0.30286,0.30286,0.30286,-0.11679,-0.11778,-0.11778
0.30571,0.30571,0.30571,-0.11722,-0.11889,-0.11889
0.30857,0.30857,0.30857,-0.11765,-0.12,-0.12
0.31143,0.31143,0.31143,-0.11809,-0.12111,-0.12111
0.31429,0.31429,0.31429,-0.11852,-0.12222,-0.12222
0.31714,0.31714,0.31714,-0.11895,-0.12333,-0.12333
0.32,0.32,0.32,-0.11938,-0.12444,-0.12444
0.32286,0.32286,0.32286,-0.11981,-0.12556,-0.12556
0.32571,0.32571,0.32571,-0.12025,-0.12667,-0.12667
0.32857,0.32857,0.32857,-0.12068,-0.12778,-0.12778
0.33143,0.33143,0.33143,-0.12111,-0.12889,-0.12889
0.33429,0.33429,0.33429,-0.12154,-0.13,-0.13
0.33714,0.33714,0.33714,-0.12198,-0.13111,-0.13111
0.34,0.34,0.34,-0.12241,-0.13222,-0.13222
0.34286,0.34286,0.34286,-0.12284,-0.13333,-0.13333
0.34571,0.34571,0.34571,-0.12327,-0.13444,-0.13444
0.34857,0.34857,0.34857,-0.1237,-0.13556,-0.13556
0.35143,0.35143,0.35143,-0.12414,-0.13667,-0.13667
0.35429,0.35429,0.35429,-0.12457,-0.13778,-0.13778
0.35714,0.35714,0.35714,-0.125,-0.13889,-0.13889
0.36,0.36,0.36,-0.12543,-0.14,-0.14
0.36286,0.36286,0.36286,-0.12586,-0.14111,-0.14111
0.36571,0.36571,0.36571,-0.1263,-0.14222,-0.14222
0.36857,0.36857,0.36857,-0.12673,-0.14333,-0.14333
0.37143,0.37143,0.37143,-0.12716,-0.14444,-0.14444
0.37429,0.37429,0.37429,-0.12759,-0.14556,-0.14556
0.37714,0.37714,0.37714,-0.12802,-0.14667,-0.14667
0.38,0.38,0.38,-0.12846,-0.14778,-0.14778
0.38286,0.38286,0.38286,-0.12889,-0.14889,-0.14889
0.38571,0.38571,0.38571,-0.12932,-0.15,-0.15
0.38857,0.38857,0.38857,-0.12975,-0.15111,-0.15111
0.39143,0.39143,0.39143,-0.13019,-0.15222,-0.15222
0.39429,0.39429,0.39429,-0.13062,-0.15296,-0.15333
0.39714,0.39714,0.39714,-0.13105,-0.15339,-0.15444
0.4,0.4,0.4,-0.13148,-0.15381,-0.15556
0.40286,0.40286,0.40286,-0.13191,-0.15423,-0.15667
0.40571,0.40571,0.40571,-0.13235,-0.15465,-0.15778
0.40857,0.40857,0.40857,-0.13278,-0.15507,-0.15889
0.41143,0.41143,0.41143,-0.13321,-0.15549,-0.16
0.41429,0.41429,0.41429,-0.13364,-0.15591,-0.16111
0.41714,0.41714,0.41714,-0.13407,-0.15633,-0.16222
0.42,0.42,0.42,-0.13451,-0.15675,-0.16333
0.42286,0.42286,0.42286,-0.13494,-0.15717,-0.16444
0.42571,0.42571,0.42571,-0.13537,-0.1576,-0.16556
0.42857,0.42857,0.42857,-0.1358,-0.15802,-0.16648
0.43143,0.43143,0.43143,-0.13623,-0.15844,-0.1669
0.43429,0.43429,0.43429,-0.13667,-0.15886,-0.16732
0.43714,0.43714,0.43714,-0.1371,-0.15928,-0.16773
0.44,0.44,0.44,-0.13753,-0.1597,-0.16815
0.44286,0.44286,0.44286,-0.13796,-0.16012,-0.16857
0.44571,0.44571,0.44571,-0.1384,-0.16054,-0.16898
0.44857,0.44857,0.44857,-0.13883,-0.16096,-0.1694
0.45143,0.45143,0.45143,-0.13926,-0.16138,-0.16982
0.45429,0.45429,0.45429,-0.13969,-0.16181,-0.17023
0.45714,0.45714,0.45714,-0.14012,-0.16223,-0.17065
0.46,0.46,0.46,-0.14056,-0.16265,-0.17107
0.46286,0.46286,0.46286,-0.14099,-0.16307,-0.17149
0.46571,0.46571,0.46571,-0.14142,-0.16349,-0.1719
0.46857,0.46857,0.46857,-0.14185,-0.16391,-0.17232
0.47143,0.47143,0.47143,-0.14228,-0.16433,-0.17274
0.47429,0.47429,0.47429,-0.14272,-0.16475,-0.17315
0.47714,0.47714,0.47714,-0.14315,-0.16517,-0.17357
0.48,0.48,0.48,-0.14358,-0.16559,-0.17399
0.48286,0.48286,0.48286,-0.14401,-0.16601,-0.1744
0.48571,0.48571,0.48571,-0.14444,-0.16644,-0.17482
0.48857,0.48857,0.48857,-0.14488,-0.16686,-0.17524
0.49143,0.49143,0.49143,-0.14531,-0.16728,-0.17565
0.49429,0.49429,0.49429,-0.14574,-0.1677,-0.17607
0.49714,0.49714,0.49714,-0.14617,-0.16812,-0.17649
0.5,0.5,0.5,-0.1466,-0.16854,-0.1769
0.50286,0.50286,0.50286,-0.14704,-0.16896,-0.17732
0.50571,0.50571,0.50571,-0.14747,-0.16938,-0.17774
0.50857,0.50857,0.50857,-0.1479,-0.1698,-0.17815
0.51143,0.51143,0.51143,-0.14833,-0.17022,-0.17857
0.51429,0.51429,0.51429,-0.14877,-0.17065,-0.17899
0.51714,0.51714,0.51714,-0.1492,-0.17107,-0.1794
0.52,0.52,0.52,-0.14963,-0.17149,-0.17982
0.52286,0.52286,0.52286,-0.15006,-0.17191,-0.18024
0.52571,0.52571,0.52571,-0.15049,-0.17233,-0.18065
0.52857,0.52857,0.52857,-0.15093,-0.17275,-0.18107
0.53143,0.53143,0.53143,-0.15136,-0.17317,-0.18149
0.53429,0.53429,0.53429,-0.15179,-0.17359,-0.1819
0.53714,0.53714,0.53714,-0.15222,-0.17401,-0.18232
0.54,0.54,0.54,-0.15265,-0.17443,-0.18274
0.54286,0.54286,0.54286,-0.15309,-0.17486,-0.18315
0.54571,0.54571,0.54571,-0.15352,-0.17528,-0.18357
0.54857,0.54857,0.54857,-0.15395,-0.1757,-0.18399
0.55143,0.55143,0.55143,-0.15438,-0.17612,-0.1844
0.55429,0.55429,0.55429,-0.15481,-0.17654,-0.18482
0.55714,0.55714,0.55714,-0.15525,-0.17696,-0.18524
0.56,0.56,0.56,-0.15568,-0.17738,-0.18565
0.56286,0.56286,0.56286,-0.15611,-0.1778,-0.18607
0.56571,0.56571,0.56571,-0.15654,-0.17822,-0.18649
0.56857,0.56857,0.56857,-0.15698,-0.17864,-0.18691
0.57143,0.57143,0.57143,-0.15741,-0.17907,-0.18732
0.57429,0.57429,0.57429,-0.15784,-0.17949,-0.18774
0.57714,0.57714,0.57714,-0.15827,-0.17991,-0.18816
0.58,0.58,0.58,-0.1587,-0.18033,-0.18857
0.58286,0.58286,0.58286,-0.15914,-0.18075,-0.18899
0.58571,0.58571,0.58571,-0.15957,-0.18117,-0.18941
0.58857,0.58857,0.58857,-0.16,-0.18159,-0.18982
0.59143,0.59143,0.59143,-0.16043,-0.18201,-0.19024
0.59429,0.59429,0.59429,-0.16086,-0.18243,-0.19066
0.59714,0.59714,0.59714,-0.1613,-0.18285,-0.19107
0.6,0.6,0.6,-0.16173,-0.18328,-0.19149
0.60286,0.60286,0.60286,-0.16216,-0.1837,-0.19191
0.60571,0.60571,0.60571,-0.16259,-0.18412,-0.19232
0.60857,0.60857,0.60857,-0.16302,-0.18454,-0.19274
0.61143,0.61143,0.61143,-0.16346,-0.18496,-0.19316
0.61429,0.61429,0.61429,-0.16389,-0.18538,-0.19357
0.61714,0.61714,0.61714,-0.16432,-0.1858,-0.19399
0.62,0.62,0.62,-0.16475,-0.18622,-0.19441
0.62286,0.62286,0.62286,-0.16519,-0.18664,-0.19482
0.62571,0.62571,0.62571,-0.16562,-0.18706,-0.19524
0.62857,0.62857,0.62857,-0.16605,-0.18749,-0.19566
0.63143,0.63143,0.63143,-0.16648,-0.18791,-0.19607
0.63429,0.63429,0.63429,-0.16691,-0.18833,-0.19649
0.63714,0.63714,0.63714,-0.16735,-0.18875,-0.19691
0.64,0.64,0.64,-0.16778,-0.18917,-0.19732
0.64286,0.64286,0.64286,-0.16821,-0.18959,-0.19774
0.64571,0.64571,0.64571,-0.16864,-0.19001,-0.19816
0.64857,0.64857,0.64857,-0.16907,-0.19043,-0.19857
0.65143,0.65143,0.65143,-0.16951,-0.19085,-0.19899
0.65429,0.65429,0.65429,-0.16994,-0.19127,-0.19941
0.65714,0.65714,0.65714,-0.17037,-0.1917,-0.19982
0.66,0.66,0.66,-0.1708,-0.19212,-0.20024
0.66286,0.66286,0.66286,-0.17123,-0.19254,-0.20066
0.66571,0.66571,0.66571,-0.17167,-0.19296,-0.20107
0.66857,0.66857,0.66857,-0.1721,-0.19338,-0.20149
0.67143,0.67143,0.67143,-0.17253,-0.1938,-0.20191
0.67429,0.67429,0.67429,-0.17296,-0.19422,-0.20233
0.67714,0.67714,0.67714,-0.1734,-0.19464,-0.20274
0.68,0.68,0.68,-0.17383,-0.19506,-0.20316
0.68286,0.68286,0.68286,-0.17426,-0.19548,-0.20358
0.68571,0.68571,0.68571,-0.17469,-0.19591,-0.20399
0.68857,0.68857,0.68857,-0.17512,-0.19633,-0.20441
0.69143,0.69143,0.69143,-0.17556,-0.19675,-0.20483
0.69429,0.69429,0.69429,-0.17599,-0.19717,-0.20524
0.69714,0.69714,0.69714,-0.17642,-0.19759,-0.20566
0.7,0.7,0.7,-0.17685,-0.19801,-0.20608
